Good to go,Registratio,Fuel,Brand,Model,Variant,Kar.,Vin,Colour, Km, Price,
2 weeks,2014-02-07,Benzin,Mazda,Cx-5,2.0 163HP Manual Vision,SUV,JMZKEC97600266705,White,"  172,000 ","  9,500 ",https://www.dropbox.com/scl/fo/60aa0ibc5bzd1k15dqqak/AD-9flWlerRlOFU7Pc453l8?rlkey=5stl7h8n3qosu54i6jry928v6&dl=0
2 weeks,2021-03-09,Benzin,Nissan,Qashqai,1.3 139HP Manual Visia,SUV,SJNFFAJ11U2888003,Grey,"  27,845 ","  13,500 ",https://www.dropbox.com/scl/fo/3glocuyd64tsdare13flv/AJ1hAGSFYoHJ6OtESfEPYqU?rlkey=n4g2tzdvx3slqrarnj8d2ybmh&dl=0
2 weeks,2020-10-15,Benzin,Volkswagen,Tiguan,1.5 148HP Automatic Life,SUV,WVGZZZ5NZMW003862,Black,"  122,500 ","  19,000 ",https://www.dropbox.com/scl/fo/y81x24a0c7jcrtmvuyca3/AFBeuXsAK8awmU5T4KU8SjY?rlkey=3wrqwe0slr4xuhrt1db2obs0o&dl=0
2 weeks,2019-12-16,Benzin,Skoda,Karoq,1.5 148HP Automatic STYLE,SUV,TMBJR7NU1L5018058,Grey,"  41,000 ","  19,500 ",https://www.dropbox.com/scl/fo/m4agqmv6x6ept93aarpjg/AFLnSP6iwakGUTx3IozIZmM?rlkey=y5hco7g12ngg8m8hyghairekh&dl=0
2 weeks,2018-08-15,Diesel,Audi,Q3,2.0 148HP Automatic Sport,SUV,WAUZZZ8U7JR044306,Grey,"  147,000 ","  13,000 ",https://www.dropbox.com/scl/fo/7bg4lywo0wtuzt8p1tv4r/AHa-wfeWGh_OSIgEvSbaE2s?rlkey=nwc0m7wn0d3r3oxwg8mowcwfc&dl=0
2 weeks,2021-04-14,Hybrid,Kia,Xceed,1.6 104HP Automatic ADVANCE PLUS,SUV,U5YH5F1AGML014441,Yellow,"  115,068 ","  15,000 ",https://www.dropbox.com/scl/fo/halutoyrcfgkrlag1kv3l/AHOws3WRGYnoK1_mKJpzJhk?rlkey=stfv8ztrp3hps1653l33j17ir&dl=0
2 weeks,2019-06-21,Hybrid,Toyota,C-Hr,1.8  Automatic C-LUB,SUV,NMTKZ3BX40R232851,Grey,"  36,157 ","  18,200 ",https://www.dropbox.com/scl/fo/1sti21f35imeswdflzpfl/AHi9p4BZ9E5vkgtqpAFwXic?rlkey=hslxyb89mv6pz9wctcexfidhr&dl=0
2 weeks,2019-03-27,Hybrid,Toyota,C-Hr,1.8  Automatic Selected,SUV,NMTKZ3BX20R227020,Grey,"  97,548 ","  16,200 ",https://www.dropbox.com/scl/fo/lg66kgc7k655f0siesw79/AOtC39El-lvbtMy-eb2pVIw?rlkey=ikew0o5ez92umb49hjevps39q&dl=0
2 weeks,2019-12-13,Benzin,Skoda,Octavia,1.5 148HP Automatic Style,Stationcar,TMBJR9NE1L0061798,Black,"  113,000 ","  12,500 ",https://www.dropbox.com/scl/fo/jzh014twakaz4qy2yw3h2/AAqwCp4dxKGkhYwycF2kpH8?rlkey=s21ffmdzm02ejh0xjjuhzn86q&dl=0
2 weeks,2020-03-05,Benzin,Seat,Ateca,1.5 148HP Automatic FR,SUV,VSSZZZ5FZL6542808,Grey,"  130,000 ","  16,750 ",https://www.dropbox.com/scl/fo/01f8zqhgf1awkhno21yeo/AGBP3_vuTv0jOawaIL30ix4?rlkey=7tbjony7sqmzqhyii4bkew2np&dl=0
